,beta,error,beta,error,beta,error,beta,error,beta,error,beta,error,beta,error,beta,error,beta,error,beta,error
0,0.03,0.22761427388633063,0.03,0.22588669984225193,0.03,0.22571745484207875,0.03,0.22691555594827975,0.03,0.2280144226033398,0.03,0.2258135638758516,0.03,0.2251320647223088,0.03,0.225995190789653,0.03,0.22784837521294948,0.03,0.2285521466554764
1,0.04,0.19140857733621894,0.04,0.18984404110218572,0.04,0.19061088993516864,0.04,0.19045546381479211,0.04,0.19064072567126059,0.04,0.19217466113942752,0.04,0.19321925224756284,0.04,0.19070990381103253,0.04,0.18989637641657064,0.04,0.18794889724747615
2,0.05,0.16238553015063537,0.05,0.16333204576070331,0.05,0.161322398936356,0.05,0.16073765603228565,0.05,0.16191519515816377,0.05,0.16039775985967109,0.05,0.1606845735857431,0.05,0.1608775296911711,0.05,0.16531423992575367,0.05,0.15971245529122863
3,0.060000000000000005,0.1546901910804068,0.060000000000000005,0.15550619791059625,0.060000000000000005,0.15194105390691065,0.060000000000000005,0.150388911692663,0.060000000000000005,0.15319141420992274,0.060000000000000005,0.15188412204254548,0.060000000000000005,0.15093432510567564,0.060000000000000005,0.1510783725038376,0.060000000000000005,0.15352225637051334,0.060000000000000005,0.1502540553560909
4,0.07,0.17213097885360862,0.07,0.16846192507977623,0.07,0.17028067084121074,0.07,0.17702086066497538,0.07,0.17489359210026229,0.07,0.17221420082275382,0.07,0.17149693199874347,0.07,0.17150222706812596,0.07,0.17477111185319283,0.07,0.17177711188878894
5,0.08000000000000002,0.19101490766183074,0.08000000000000002,0.19261300382506197,0.08000000000000002,0.1902700192252586,0.08000000000000002,0.1903124086566241,0.08000000000000002,0.1904233911151832,0.08000000000000002,0.18916427598478872,0.08000000000000002,0.1898977112695517,0.08000000000000002,0.1920885561566283,0.08000000000000002,0.1887452017417414,0.08000000000000002,0.18725134250900724
6,0.09000000000000001,0.20417084168694685,0.09000000000000001,0.2068644165747555,0.09000000000000001,0.20904864271406068,0.09000000000000001,0.20922136495460764,0.09000000000000001,0.21667397013728187,0.09000000000000001,0.2072786630835388,0.09000000000000001,0.2098170633191518,0.09000000000000001,0.21589044905602445,0.09000000000000001,0.21115630270108918,0.09000000000000001,0.20400203672265863
7,0.1,0.2396685195757003,0.1,0.2502820676250159,0.1,0.24416127185940278,0.1,0.24213057664292464,0.1,0.23981949569638475,0.1,0.23918744760741079,0.1,0.24632641041348877,0.1,0.2561903554268999,0.1,0.24734711391982564,0.1,0.24846882762709593
