,beta,error,beta,error,beta,error,beta,error,beta,error,beta,error,beta,error,beta,error,beta,error,beta,error
0,0.03,0.16104827710241731,0.03,0.16080274144345294,0.03,0.15832930142190318,0.03,0.16047426700016104,0.03,0.15589753367713516,0.03,0.15846377317145716,0.03,0.15835641752874552,0.03,0.15858690030820521,0.03,0.15859978324576604,0.03,0.15672034418230565
1,0.04,0.10911364468161364,0.04,0.10299304659527328,0.04,0.10934665568337229,0.04,0.10627865459304622,0.04,0.10839592411922797,0.04,0.10308264300182624,0.04,0.10912824907899057,0.04,0.10882179731370745,0.04,0.10847142846854907,0.04,0.10952104799203899
2,0.05,0.08194322628200543,0.05,0.08334078300856948,0.05,0.08130017026368694,0.05,0.08175036279811429,0.05,0.083984354256809,0.05,0.08877039883083909,0.05,0.07955040248234607,0.05,0.0815861432183752,0.05,0.08038575235140866,0.05,0.07813658258675066
3,0.060000000000000005,0.10570031345256051,0.060000000000000005,0.10671899883001787,0.060000000000000005,0.1066372249478506,0.060000000000000005,0.10459769983382905,0.060000000000000005,0.10700189191460582,0.060000000000000005,0.10458389321436803,0.060000000000000005,0.10552931833152598,0.060000000000000005,0.10519028845793996,0.060000000000000005,0.10916569289192388,0.060000000000000005,0.10555622392903319
4,0.07,0.12529838162202597,0.07,0.1257300735899804,0.07,0.12475638860033433,0.07,0.1283139091413616,0.07,0.12465154004548107,0.07,0.12901138072533083,0.07,0.12259917514049196,0.07,0.12263309580010096,0.07,0.1254623654638334,0.07,0.12385119570387418
5,0.08000000000000002,0.1630812760203113,0.08000000000000002,0.15658363618825105,0.08000000000000002,0.17629550500281269,0.08000000000000002,0.17107801452919275,0.08000000000000002,0.16136037487814597,0.08000000000000002,0.16612897516620825,0.08000000000000002,0.16345623581237276,0.08000000000000002,0.1632483013555162,0.08000000000000002,0.16410676069340568,0.08000000000000002,0.1645155648558914
6,0.09000000000000001,0.19680692265319757,0.09000000000000001,0.20049105041451507,0.09000000000000001,0.21079727084485056,0.09000000000000001,0.2007149332960046,0.09000000000000001,0.20777382794914004,0.09000000000000001,0.2006747098317257,0.09000000000000001,0.19801821554152813,0.09000000000000001,0.20746958632022755,0.09000000000000001,0.2091927511454555,0.09000000000000001,0.2010188446680844
7,0.1,0.24273143192430097,0.1,0.2333144209131213,0.1,0.24006404095737374,0.1,0.23123440667914777,0.1,0.24109603512110953,0.1,0.24041661972895445,0.1,0.24847264076780945,0.1,0.23093642896005018,0.1,0.2261213329902054,0.1,0.2444351229799305
