,0,1
0,0.48,0.4920964935240516
1,0.49,0.4852686818577404
2,0.5,0.48951537151817603
3,0.51,0.5183288431806635
4,0.52,0.4525969289216717
5,0.53,0.4966720649442048
6,0.54,0.5055253666146785
7,0.55,0.5090810282064778
8,0.56,0.4547388870096237
9,0.5700000000000001,0.49493613366074996
10,0.5800000000000001,0.43845897057369276
11,0.5900000000000001,0.5340997603096632
12,0.6000000000000001,0.5594466434455567
13,0.6100000000000001,0.4560957743455061
14,0.6200000000000001,0.5173568631781059
15,0.6300000000000001,0.5167456836760754
16,0.6400000000000001,0.4516629819261393
17,0.6500000000000001,0.5150849992619682
18,0.6600000000000001,0.4501714766908076
19,0.6700000000000002,0.4317984084567317
20,0.6800000000000002,0.434505955013486
21,0.6900000000000002,0.476396447116073
22,0.7000000000000002,0.4671354942917145
23,0.7100000000000002,0.4045389018867167
24,0.7200000000000002,0.4797593011567485
