,beta,error
0,0.01,0.5555209185918585
1,0.02,0.3849001638539735
2,0.03,0.25832889744901977
3,0.04,0.2098456931454613
4,0.05,0.20460518657653887
5,0.060000000000000005,0.23066183543720858
6,0.06999999999999999,0.25681043530833414
7,0.08,0.27969673979651793
8,0.09,0.33323226415542856
