,beta,error,beta,error,beta,error,beta,error,beta,error,beta,error,beta,error,beta,error,beta,error,beta,error
0,0.04,0.17593807562124433,0.04,0.17863849155918518,0.04,0.17789952038238382,0.04,0.181653029954497,0.04,0.1766938260165749,0.04,0.1762348754541782,0.04,0.1780076385594897,0.04,0.17396912423811273,0.04,0.17697327379892194,0.04,0.18041736549066112
1,0.05,0.1014662559167257,0.05,0.10256192305388817,0.05,0.1079619024420963,0.05,0.10368980910424555,0.05,0.10950468782312817,0.05,0.10480099434642545,0.05,0.1042451023938015,0.05,0.10476995673657877,0.05,0.10071645450783656,0.05,0.0992598810833134
2,0.060000000000000005,0.07218813053152265,0.060000000000000005,0.07280358058885564,0.060000000000000005,0.07530424126335361,0.060000000000000005,0.07487911682880577,0.060000000000000005,0.07365340621792066,0.060000000000000005,0.07361202099511813,0.060000000000000005,0.07005037640596834,0.060000000000000005,0.0728906322879378,0.060000000000000005,0.07254587943399504,0.060000000000000005,0.07383869906897117
3,0.07,0.10017899725628293,0.07,0.10139424081647924,0.07,0.09956528717841207,0.07,0.10152386324479828,0.07,0.09614349325294375,0.07,0.0966679969032998,0.07,0.09611127845232437,0.07,0.09662812449637648,0.07,0.10412797424296372,0.07,0.09448452561453613
4,0.08000000000000002,0.15659564395932185,0.08000000000000002,0.14283494612057795,0.08000000000000002,0.13941857880710112,0.08000000000000002,0.14192040481550672,0.08000000000000002,0.13806801783494782,0.08000000000000002,0.14639205969452096,0.08000000000000002,0.14997190757036832,0.08000000000000002,0.14161626677368083,0.08000000000000002,0.1482163036606043,0.08000000000000002,0.14620708221938133
5,0.09000000000000001,0.20226993047616687,0.09000000000000001,0.19177028310427524,0.09000000000000001,0.2141457464910405,0.09000000000000001,0.1917084075790238,0.09000000000000001,0.1902896256744026,0.09000000000000001,0.20322662166740824,0.09000000000000001,0.2020804518875161,0.09000000000000001,0.1954179974549322,0.09000000000000001,0.2013323784981092,0.09000000000000001,0.1927283455596368
