,beta,error,beta,error,beta,error,beta,error,beta,error,beta,error,beta,error,beta,error,beta,error,beta,error
0,0.04,0.16863723489879456,0.04,0.17489805208193676,0.04,0.16404372704836348,0.04,0.17124691754589128,0.04,0.1623632253049814,0.04,0.16817369970934176,0.04,0.16400834118847663,0.04,0.16041426955274635,0.04,0.17289849784067018,0.04,0.17873930137237348
1,0.05,0.08277876787126431,0.05,0.07892335206142614,0.05,0.07940072213785515,0.05,0.07158363238845722,0.05,0.06886880106322707,0.05,0.07748767410821497,0.05,0.0796493923035912,0.05,0.07729109301628018,0.05,0.07012267337969733,0.05,0.07097460019228458
2,0.060000000000000005,0.028358930696338186,0.060000000000000005,0.031929537331351565,0.060000000000000005,0.028927600356051714,0.060000000000000005,0.029304149273840452,0.060000000000000005,0.029122163694450948,0.060000000000000005,0.02811465352388004,0.060000000000000005,0.0293151064982545,0.060000000000000005,0.02654333193819855,0.060000000000000005,0.02950521597937597,0.060000000000000005,0.028585896957127377
3,0.07,0.06740214763003605,0.07,0.06469800132885975,0.07,0.06115450854954069,0.07,0.06528606071150553,0.07,0.07293943538097311,0.07,0.06653837062138004,0.07,0.06706830702354505,0.07,0.06279747075350273,0.07,0.06839363334092544,0.07,0.06656990501090901
4,0.08000000000000002,0.1286010703420176,0.08000000000000002,0.12768509671811554,0.08000000000000002,0.12898200398138362,0.08000000000000002,0.13336533573494205,0.08000000000000002,0.12612462276359196,0.08000000000000002,0.1258889440840775,0.08000000000000002,0.13145402514291346,0.08000000000000002,0.12754754086995815,0.08000000000000002,0.1181666479797526,0.08000000000000002,0.13755358318281316
5,0.09000000000000001,0.17089978485582438,0.09000000000000001,0.1736825918204866,0.09000000000000001,0.1763659158403725,0.09000000000000001,0.18562829001908523,0.09000000000000001,0.17197735771666897,0.09000000000000001,0.17932635285679174,0.09000000000000001,0.18680716229202368,0.09000000000000001,0.1785772140248247,0.09000000000000001,0.17350048120337572,0.09000000000000001,0.1816448469544226
