,beta,error,beta,error,beta,error,beta,error,beta,error
0,0.02,0.423983923621073,0.02,0.42733835969341083,0.02,0.42570333728553866,0.02,0.4286378309971405,0.02,0.42763920894897767
1,0.03,0.2694383084244819,0.03,0.2817102272653406,0.03,0.2727348956457898,0.03,0.27763841032102465,0.03,0.2849144687686191
2,0.039999999999999994,0.16653688741281167,0.039999999999999994,0.17765670433468428,0.039999999999999994,0.17174025706793228,0.039999999999999994,0.1718230344888607,0.039999999999999994,0.16902327731990377
3,0.049999999999999996,0.11333923351965852,0.049999999999999996,0.11204126989763605,0.049999999999999996,0.11559559580294451,0.049999999999999996,0.1112777833199182,0.049999999999999996,0.1092906842250655
4,0.06,0.06365993512492876,0.06,0.06505152257589245,0.06,0.06783721613726779,0.06,0.06328085263566116,0.06,0.07047026269286785
5,0.06999999999999999,0.07877750039983616,0.06999999999999999,0.07540577826351347,0.06999999999999999,0.07935066246223463,0.06999999999999999,0.07536560784651516,0.06999999999999999,0.07741317929544086
6,0.07999999999999999,0.1238572022024115,0.07999999999999999,0.13837253066734753,0.07999999999999999,0.11291205806403548,0.07999999999999999,0.12462133684435375,0.07999999999999999,0.12258753809115647
7,0.09,0.17459365360719203,0.09,0.17815497661077498,0.09,0.1740714493204219,0.09,0.1742892846468507,0.09,0.17029194510378193
