,beta,error,beta,error,beta,error,beta,error,beta,error,beta,error,beta,error,beta,error,beta,error,beta,error
0,0.05,0.14986661507618798,0.05,0.15058859260342414,0.05,0.14872633817821299,0.05,0.14604470495975813,0.05,0.14803034895670117,0.05,0.1504894359912457,0.05,0.14865245978161065,0.05,0.145509520671043,0.05,0.15008037479789738,0.05,0.14819005015152292
1,0.060000000000000005,0.11534986653583906,0.060000000000000005,0.1148226394237774,0.060000000000000005,0.1157734203116478,0.060000000000000005,0.11667304420229452,0.060000000000000005,0.11516693681562362,0.060000000000000005,0.11525691347173866,0.060000000000000005,0.11426684968944353,0.060000000000000005,0.11563428408928522,0.060000000000000005,0.11206636471531387,0.060000000000000005,0.11216574392798137
2,0.07,0.11428724289918468,0.07,0.1110252219800863,0.07,0.11029172174165353,0.07,0.10935233527107541,0.07,0.10699356500341614,0.07,0.11000913911268098,0.07,0.10864221945676236,0.07,0.11083975313017025,0.07,0.10920973837794756,0.07,0.10845936720060201
3,0.08000000000000002,0.12370160251800494,0.08000000000000002,0.1406371995511084,0.08000000000000002,0.13080625789483682,0.08000000000000002,0.1312406061806908,0.08000000000000002,0.14415257191633266,0.08000000000000002,0.14038119536264176,0.08000000000000002,0.13642757705946923,0.08000000000000002,0.13019623294962082,0.08000000000000002,0.14126923859622842,0.08000000000000002,0.13710380180894557
4,0.09000000000000001,0.18928260495253543,0.09000000000000001,0.1865263698671856,0.09000000000000001,0.18790264446552526,0.09000000000000001,0.18187370642934317,0.09000000000000001,0.18570076005212874,0.09000000000000001,0.18244061571236905,0.09000000000000001,0.19007050478095924,0.09000000000000001,0.19247188161710702,0.09000000000000001,0.1947828489986627,0.09000000000000001,0.18522329085951564
