,beta,error
0,0.01,0.3201185965531532
1,0.02,0.19463370839817248
2,0.03,0.16816480842715412
3,0.04,0.21637667941781977
4,0.05,0.3065701944610679
5,0.060000000000000005,0.38730711346931507
6,0.06999999999999999,0.4553680802231087
7,0.08,0.5183343212298317
8,0.09,0.5609697613044751
