,beta,error
0,0.01,0.36716218173112614
1,0.02,0.18704753273325725
2,0.03,0.10431425034854064
3,0.04,0.12665983332335573
4,0.05,0.22245462278009248
5,0.060000000000000005,0.30436011200799257
6,0.06999999999999999,0.3713949789118353
7,0.08,0.42909428488693
8,0.09,0.49075090595290705
