,beta,error
0,0.01,0.4988563591896713
1,0.02,0.2916665655494364
2,0.03,0.15126453835746365
3,0.04,0.09239719779924513
4,0.05,0.06128936290782924
5,0.060000000000000005,0.13761967944335918
6,0.06999999999999999,0.21069316640236027
7,0.08,0.26420975401087754
8,0.09,0.33096389960007977
